"commodity","horizon","beta_pre","beta_post","beta_diff","nobs","nvalid","lower_diff90","lower_diff68","upper_diff68","upper_diff90","lower_pre90","lower_pre68","upper_pre68","upper_pre90","lower_post90","lower_post68","upper_post68","upper_post90"
"Gold",9,-0.0355602631955682,-0.0993873749644032,-0.063827111768835,275,500,-0.223214442583715,-0.139568319394002,0.0758554116364171,0.147561620161827,-0.155998546742123,-0.111669490479314,-0.0122623091142424,0.0186807653884662,-0.268488173748473,-0.191904771291683,0.0100030102830842,0.0898748416966784
"Gold",10,-0.0730466979761919,-0.10739338400814,-0.0343466860319483,275,500,-0.211326949923887,-0.129974860589086,0.0919927949794848,0.199115617179999,-0.184049625108395,-0.142013901901315,-0.0363519352723407,-0.00180468109963656,-0.286292361154038,-0.215055453710692,-0.000971633436376296,0.0807672056409281
"Gold",11,-0.094055802506387,-0.0878893214465601,0.00616648105982682,275,500,-0.171133328144412,-0.092760706176781,0.129038864875955,0.229266237352008,-0.188653664683264,-0.153144850446101,-0.0529907272530062,-0.0201329642108178,-0.267080540258238,-0.181734977058896,0.0189464797442314,0.104910023968357
"Gold",12,-0.123086436652584,-0.0636555102825923,0.0594309263699918,275,500,-0.148069134274137,-0.0566524860559181,0.188996568412922,0.291616500920578,-0.226851060038773,-0.186539152787145,-0.0800867037842917,-0.0401440565107576,-0.260853692212885,-0.182303951583556,0.0518535366686554,0.125473455866657
"Gold",13,-0.142494995809652,-0.104299769034468,0.0381952267751837,275,500,-0.209086315272618,-0.104277902126815,0.184057337306101,0.296397060560618,-0.254577582239476,-0.217062559791317,-0.0987155097414902,-0.0542719338064393,-0.355447929765193,-0.251562837434296,0.0211783992831327,0.102978852225236
"Gold",14,-0.133368455454051,-0.106121454502585,0.0272470009514652,275,500,-0.21109141324594,-0.103386520104558,0.180717680917337,0.281843936137074,-0.272382103354449,-0.219431144678934,-0.0918898596885209,-0.0472662876600475,-0.341195855364855,-0.258466457089487,0.0118440819284272,0.0863631857740531
"Gold",15,-0.114921946025558,-0.0865779647356299,0.0283439812899282,275,500,-0.246648020286149,-0.129737267092141,0.18630683133543,0.299429596643446,-0.260295046583175,-0.207159858141771,-0.0737591982105895,-0.030386667257134,-0.357618545553316,-0.255746487680958,0.0357591083731092,0.112518582516377
"Gold",16,-0.142878760291765,-0.129300898827025,0.0135778614647399,275,500,-0.252607273373179,-0.138161988222762,0.189357410103869,0.310365758343325,-0.313579776486136,-0.243070878483363,-0.104807274249603,-0.0531635138934868,-0.418175775531378,-0.294482098674752,-0.00309877754088778,0.0855156468276803
"Gold",17,-0.138683127036767,-0.171067902357183,-0.0323847753204166,275,500,-0.314410705967249,-0.17714319426592,0.142491266382458,0.26233744669129,-0.312435682220605,-0.241849511186057,-0.0893299341638498,-0.0350790954419085,-0.456587682575935,-0.327632626313457,-0.0397925631434803,0.0553755393931883
"Gold",18,-0.101630277206009,-0.189274243594226,-0.0876439663882172,275,500,-0.360058307543813,-0.237073602385106,0.104652822595076,0.236492403488827,-0.276061687713683,-0.206934915448472,-0.0516647206337875,0.00893795518832695,-0.472123565084851,-0.339738072356307,-0.0362208470354088,0.0629157462189836
